                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15508
Model:                            GLM   Df Residuals:                    15267
Model Family:                Binomial   Df Model:                          240
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -2850.0
Date:                Sun, 17 Mar 2024   Deviance:                       5700.0
Time:                        19:25:29   Pearson chi2:                 1.41e+04
No. Iterations:                    49   Pseudo R-squ. (CS):            0.04873
Covariance Type:            nonrobust                                         
=================================================================================
                    coef    std err          z      P>|z|      [0.025      0.975]
---------------------------------------------------------------------------------
Intercept        -3.4059      0.067    -50.949      0.000      -3.537      -3.275
SQ_RET_LAG1    1.204e+04   4310.321      2.793      0.005    3590.856    2.05e+04
SQ_RET_LAG10   6686.6408   3635.796      1.839      0.066    -439.389    1.38e+04
SQ_RET_LAG100 -1.301e+04   1.24e+04     -1.052      0.293   -3.73e+04    1.12e+04
SQ_RET_LAG101 -5868.2130   8741.311     -0.671      0.502    -2.3e+04    1.13e+04
SQ_RET_LAG102 -9492.2758   1.13e+04     -0.837      0.403   -3.17e+04    1.27e+04
SQ_RET_LAG103 -8026.1845   1.06e+04     -0.759      0.448   -2.87e+04    1.27e+04
SQ_RET_LAG104  3438.1177   5291.088      0.650      0.516   -6932.225    1.38e+04
SQ_RET_LAG105 -8915.9906   1.12e+04     -0.799      0.425   -3.08e+04     1.3e+04
SQ_RET_LAG106  1803.0975   5811.911      0.310      0.756   -9588.039    1.32e+04
SQ_RET_LAG107  8398.4978   4225.231      1.988      0.047     117.197    1.67e+04
SQ_RET_LAG108  6284.7129   3953.150      1.590      0.112   -1463.318     1.4e+04
SQ_RET_LAG109  1669.3086   5482.772      0.304      0.761   -9076.727    1.24e+04
SQ_RET_LAG11   3334.7665   3786.777      0.881      0.379   -4087.180    1.08e+04
SQ_RET_LAG110  6069.7983   4582.351      1.325      0.185   -2911.445    1.51e+04
SQ_RET_LAG111   2.43e+04   8875.236      2.738      0.006    6906.118    4.17e+04
SQ_RET_LAG112 -4547.3261   6225.490     -0.730      0.465   -1.67e+04    7654.410
SQ_RET_LAG113  8098.2050   4023.968      2.012      0.044     211.372     1.6e+04
SQ_RET_LAG114  -394.8741   5458.717     -0.072      0.942   -1.11e+04    1.03e+04
SQ_RET_LAG115  1277.9605   5013.205      0.255      0.799   -8547.741    1.11e+04
SQ_RET_LAG116  4509.1481   6016.136      0.750      0.454   -7282.261    1.63e+04
SQ_RET_LAG117  4951.4503   4912.034      1.008      0.313   -4675.960    1.46e+04
SQ_RET_LAG118   1.19e+04   5278.193      2.255      0.024    1555.593    2.22e+04
SQ_RET_LAG119  2893.8574   4690.816      0.617      0.537   -6299.973    1.21e+04
SQ_RET_LAG12   3605.4021   3678.161      0.980      0.327   -3603.661    1.08e+04
SQ_RET_LAG120  3721.9943   4254.329      0.875      0.382   -4616.338    1.21e+04
SQ_RET_LAG13   8001.6205   3602.459      2.221      0.026     940.931    1.51e+04
SQ_RET_LAG14   6812.7696   3506.179      1.943      0.052     -59.215    1.37e+04
SQ_RET_LAG15   1438.0389   4530.865      0.317      0.751   -7442.294    1.03e+04
SQ_RET_LAG16   5750.1869   3591.497      1.601      0.109   -1289.017    1.28e+04
SQ_RET_LAG17   4362.2614   3813.312      1.144      0.253   -3111.693    1.18e+04
SQ_RET_LAG18   7355.6418   3630.871      2.026      0.043     239.265    1.45e+04
SQ_RET_LAG19   1095.2570   4456.812      0.246      0.806   -7639.934    9830.448
SQ_RET_LAG2    6128.8523   3546.840      1.728      0.084    -822.827    1.31e+04
SQ_RET_LAG20   4544.5376   3713.204      1.224      0.221   -2733.208    1.18e+04
SQ_RET_LAG21   8056.0443   3606.731      2.234      0.026     986.982    1.51e+04
SQ_RET_LAG22   2905.3373   3845.354      0.756      0.450   -4631.419    1.04e+04
SQ_RET_LAG23   7057.0906   3497.429      2.018      0.044     202.256    1.39e+04
SQ_RET_LAG24    661.7404   4723.538      0.140      0.889   -8596.223    9919.704
SQ_RET_LAG25  -2953.7172   6282.776     -0.470      0.638   -1.53e+04    9360.298
SQ_RET_LAG26   7586.0542   3516.294      2.157      0.031     694.245    1.45e+04
SQ_RET_LAG27   4362.3912   4100.955      1.064      0.287   -3675.332    1.24e+04
SQ_RET_LAG28  -1579.3907   6361.682     -0.248      0.804    -1.4e+04    1.09e+04
SQ_RET_LAG29   -344.5810   5591.393     -0.062      0.951   -1.13e+04    1.06e+04
SQ_RET_LAG3    7259.6115   3674.462      1.976      0.048      57.799    1.45e+04
SQ_RET_LAG30   3916.5715   4081.547      0.960      0.337   -4083.113    1.19e+04
SQ_RET_LAG31   2709.2386   4509.569      0.601      0.548   -6129.354    1.15e+04
SQ_RET_LAG32   1703.3055   4820.082      0.353      0.724   -7743.881    1.12e+04
SQ_RET_LAG33   4396.6688   4182.767      1.051      0.293   -3801.403    1.26e+04
SQ_RET_LAG34   -302.3937   6037.437     -0.050      0.960   -1.21e+04    1.15e+04
SQ_RET_LAG35   7212.7396   3598.948      2.004      0.045     158.930    1.43e+04
SQ_RET_LAG36   8211.6076   3604.272      2.278      0.023    1147.364    1.53e+04
SQ_RET_LAG37   7496.8899   3996.322      1.876      0.061    -335.758    1.53e+04
SQ_RET_LAG38   6974.4546   3542.863      1.969      0.049      30.570    1.39e+04
SQ_RET_LAG39    590.6294   5226.779      0.113      0.910   -9653.669    1.08e+04
SQ_RET_LAG4    8310.7747   3843.154      2.162      0.031     778.331    1.58e+04
SQ_RET_LAG40   5419.9065   3639.237      1.489      0.136   -1712.868    1.26e+04
SQ_RET_LAG41   2876.6779   4503.731      0.639      0.523   -5950.472    1.17e+04
SQ_RET_LAG42   3782.4262   4136.178      0.914      0.360   -4324.335    1.19e+04
SQ_RET_LAG43   4351.9763   4097.787      1.062      0.288   -3679.539    1.24e+04
SQ_RET_LAG44   5282.7112   3718.310      1.421      0.155   -2005.043    1.26e+04
SQ_RET_LAG45   6618.0146   3637.910      1.819      0.069    -512.158    1.37e+04
SQ_RET_LAG46    246.1180   5488.306      0.045      0.964   -1.05e+04     1.1e+04
SQ_RET_LAG47   5972.6524   3780.272      1.580      0.114   -1436.545    1.34e+04
SQ_RET_LAG48  -1176.9498   6275.620     -0.188      0.851   -1.35e+04    1.11e+04
SQ_RET_LAG49   2284.9188   5005.391      0.456      0.648   -7525.467    1.21e+04
SQ_RET_LAG5    4253.6063   3602.513      1.181      0.238   -2807.189    1.13e+04
SQ_RET_LAG50   4332.3265   3981.714      1.088      0.277   -3471.690    1.21e+04
SQ_RET_LAG51   5680.4168   3847.734      1.476      0.140   -1861.004    1.32e+04
SQ_RET_LAG52  -1.136e+04   1.05e+04     -1.082      0.279   -3.19e+04    9223.529
SQ_RET_LAG53   -264.8543   6377.795     -0.042      0.967   -1.28e+04    1.22e+04
SQ_RET_LAG54    142.6128   5626.949      0.025      0.980   -1.09e+04    1.12e+04
SQ_RET_LAG55   2758.9862   4432.223      0.622      0.534   -5928.012    1.14e+04
SQ_RET_LAG56   2498.0661   5078.051      0.492      0.623   -7454.730    1.25e+04
SQ_RET_LAG57   5781.0469   3769.016      1.534      0.125   -1606.089    1.32e+04
SQ_RET_LAG58   3195.5265   4349.225      0.735      0.463   -5328.798    1.17e+04
SQ_RET_LAG59   5845.6647   3492.604      1.674      0.094    -999.713    1.27e+04
SQ_RET_LAG6    8794.0370   3849.451      2.284      0.022    1249.253    1.63e+04
SQ_RET_LAG60   6141.8995   3509.454      1.750      0.080    -736.505     1.3e+04
SQ_RET_LAG61   8252.2818   4076.366      2.024      0.043     262.752    1.62e+04
SQ_RET_LAG62   5066.7865   3888.719      1.303      0.193   -2554.962    1.27e+04
SQ_RET_LAG63   3283.7474   4079.231      0.805      0.421   -4711.399    1.13e+04
SQ_RET_LAG64   1006.3148   4491.308      0.224      0.823   -7796.488    9809.117
SQ_RET_LAG65   3698.2889   4186.526      0.883      0.377   -4507.152    1.19e+04
SQ_RET_LAG66   5153.2423   4129.689      1.248      0.212   -2940.799    1.32e+04
SQ_RET_LAG67   7586.7714   4039.391      1.878      0.060    -330.290    1.55e+04
SQ_RET_LAG68   2410.2947   4680.305      0.515      0.607   -6762.934    1.16e+04
SQ_RET_LAG69   -521.0751   4814.774     -0.108      0.914   -9957.858    8915.708
SQ_RET_LAG7    1.311e+04   5032.244      2.604      0.009    3242.375     2.3e+04
SQ_RET_LAG70  -8899.4925   6962.973     -1.278      0.201   -2.25e+04    4747.684
SQ_RET_LAG71  -3055.5946   6197.489     -0.493      0.622   -1.52e+04    9091.262
SQ_RET_LAG72   8219.6896   3997.844      2.056      0.040     384.059    1.61e+04
SQ_RET_LAG73   5742.2343   4147.719      1.384      0.166   -2387.146    1.39e+04
SQ_RET_LAG74  -1690.5396   5407.320     -0.313      0.755   -1.23e+04    8907.613
SQ_RET_LAG75  -1070.0627   5079.234     -0.211      0.833    -1.1e+04    8885.054
SQ_RET_LAG76   5803.1275   3925.944      1.478      0.139   -1891.582    1.35e+04
SQ_RET_LAG77   -483.1935   5207.950     -0.093      0.926   -1.07e+04    9724.200
SQ_RET_LAG78   1230.9557   5075.134      0.243      0.808   -8716.124    1.12e+04
SQ_RET_LAG79   3381.7640   3999.511      0.846      0.398   -4457.134    1.12e+04
SQ_RET_LAG8    7416.7396   3785.970      1.959      0.050      -3.625    1.48e+04
SQ_RET_LAG80  -1688.1496   5279.810     -0.320      0.749    -1.2e+04    8660.088
SQ_RET_LAG81  -2384.7839   5908.100     -0.404      0.686    -1.4e+04    9194.879
SQ_RET_LAG82   1773.7516   4542.407      0.390      0.696   -7129.202    1.07e+04
SQ_RET_LAG83   2967.8251   3993.150      0.743      0.457   -4858.606    1.08e+04
SQ_RET_LAG84   -329.7686   5056.721     -0.065      0.948   -1.02e+04    9581.222
SQ_RET_LAG85    -40.4331   5065.428     -0.008      0.994   -9968.489    9887.623
SQ_RET_LAG86    467.9479   4987.483      0.094      0.925   -9307.339    1.02e+04
SQ_RET_LAG87   1376.4536   5115.704      0.269      0.788   -8650.143    1.14e+04
SQ_RET_LAG88  -2265.6959   5850.273     -0.387      0.699   -1.37e+04    9200.629
SQ_RET_LAG89   -353.8622   5762.834     -0.061      0.951   -1.16e+04    1.09e+04
SQ_RET_LAG9     1.09e+04   4639.277      2.350      0.019    1809.953       2e+04
SQ_RET_LAG90  -2449.4406   6407.302     -0.382      0.702    -1.5e+04    1.01e+04
SQ_RET_LAG91  -1368.5864   6144.706     -0.223      0.824   -1.34e+04    1.07e+04
SQ_RET_LAG92   6577.0384   4311.570      1.525      0.127   -1873.484     1.5e+04
SQ_RET_LAG93   -230.9476   5353.004     -0.043      0.966   -1.07e+04    1.03e+04
SQ_RET_LAG94  -1201.3506   6064.818     -0.198      0.843   -1.31e+04    1.07e+04
SQ_RET_LAG95   4765.5530   4042.202      1.179      0.238   -3157.018    1.27e+04
SQ_RET_LAG96  -2981.2416   6596.335     -0.452      0.651   -1.59e+04    9947.337
SQ_RET_LAG97   6143.8024   4377.952      1.403      0.161   -2436.827    1.47e+04
SQ_RET_LAG98   7817.0718   4912.989      1.591      0.112   -1812.210    1.74e+04
SQ_RET_LAG99   -692.5156   5162.869     -0.134      0.893   -1.08e+04    9426.522
VOL_LAG1       4.199e-07   8.12e-08      5.169      0.000    2.61e-07    5.79e-07
VOL_LAG10      2.695e-07   1.02e-07      2.631      0.009    6.87e-08     4.7e-07
VOL_LAG100     5.318e-08   2.27e-07      0.235      0.815   -3.91e-07    4.98e-07
VOL_LAG101     1.141e-07   2.09e-07      0.547      0.585   -2.95e-07    5.23e-07
VOL_LAG102    -2.408e-07   4.16e-07     -0.579      0.563   -1.06e-06    5.75e-07
VOL_LAG103      1.97e-07   1.83e-07      1.074      0.283   -1.62e-07    5.56e-07
VOL_LAG104    -2.996e-07   4.46e-07     -0.672      0.502   -1.17e-06    5.74e-07
VOL_LAG105    -4.363e-08   2.97e-07     -0.147      0.883   -6.26e-07    5.39e-07
VOL_LAG106    -2.863e-07   4.39e-07     -0.652      0.515   -1.15e-06    5.75e-07
VOL_LAG107     6.038e-08   2.33e-07      0.259      0.796   -3.97e-07    5.17e-07
VOL_LAG108     -1.04e-07   2.95e-07     -0.352      0.725   -6.83e-07    4.75e-07
VOL_LAG109      2.13e-07   1.49e-07      1.433      0.152   -7.83e-08    5.04e-07
VOL_LAG11     -6.909e-08   1.91e-07     -0.363      0.717   -4.43e-07    3.04e-07
VOL_LAG110     6.809e-09   2.68e-07      0.025      0.980   -5.19e-07    5.33e-07
VOL_LAG111    -3.312e-07   4.07e-07     -0.814      0.415   -1.13e-06    4.66e-07
