                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15508
Model:                            GLM   Df Residuals:                    15147
Model Family:                Binomial   Df Model:                          360
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -2716.2
Date:                Sun, 17 Mar 2024   Deviance:                       5432.5
Time:                        19:27:36   Pearson chi2:                 1.47e+04
No. Iterations:                    12   Pseudo R-squ. (CS):            0.06500
Covariance Type:            nonrobust                                         
=================================================================================
                    coef    std err          z      P>|z|      [0.025      0.975]
---------------------------------------------------------------------------------
Intercept        -3.6626      0.072    -50.614      0.000      -3.804      -3.521
SQ_RET_LAG1    7951.7597   3623.714      2.194      0.028     849.410    1.51e+04
SQ_RET_LAG10   4147.4632   3983.308      1.041      0.298   -3659.677     1.2e+04
SQ_RET_LAG100 -2.424e+04    1.6e+04     -1.511      0.131   -5.57e+04    7204.691
SQ_RET_LAG101 -8688.6715   1.05e+04     -0.829      0.407   -2.92e+04    1.19e+04
SQ_RET_LAG102 -1.331e+04   1.35e+04     -0.985      0.325   -3.98e+04    1.32e+04
SQ_RET_LAG103 -1.669e+04   1.37e+04     -1.216      0.224   -4.36e+04    1.02e+04
SQ_RET_LAG104  2170.7512   6251.302      0.347      0.728   -1.01e+04    1.44e+04
SQ_RET_LAG105 -1.822e+04   1.55e+04     -1.179      0.238   -4.85e+04    1.21e+04
SQ_RET_LAG106   323.7798   7541.359      0.043      0.966   -1.45e+04    1.51e+04
SQ_RET_LAG107  7478.1576   4106.705      1.821      0.069    -570.837    1.55e+04
SQ_RET_LAG108  6346.2620   3929.665      1.615      0.106   -1355.741     1.4e+04
SQ_RET_LAG109  2572.2082   5953.534      0.432      0.666   -9096.504    1.42e+04
SQ_RET_LAG11    955.4814   4593.484      0.208      0.835   -8047.581    9958.544
SQ_RET_LAG110  1764.1756   5658.837      0.312      0.755   -9326.942    1.29e+04
SQ_RET_LAG111  1.696e+04   9136.646      1.856      0.063    -950.724    3.49e+04
SQ_RET_LAG112 -9843.6172   8404.803     -1.171      0.242   -2.63e+04    6629.494
SQ_RET_LAG113  4583.9556   3995.217      1.147      0.251   -3246.526    1.24e+04
SQ_RET_LAG114 -8084.6021   8009.433     -1.009      0.313   -2.38e+04    7613.598
