                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15172
Model:                            GLM   Df Residuals:                    14986
Model Family:                Binomial   Df Model:                          185
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -3165.4
Date:                Sun, 17 Mar 2024   Deviance:                       6330.8
Time:                        19:21:59   Pearson chi2:                 1.43e+04
No. Iterations:                   100   Pseudo R-squ. (CS):            0.05706
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
VOL_LAG31    -3.943e-08   1.76e-07     -0.224      0.823   -3.85e-07    3.06e-07
VOL_LAG32    -7.084e-08   1.95e-07     -0.364      0.716   -4.52e-07    3.11e-07
VOL_LAG33    -9.554e-08   2.12e-07     -0.450      0.653   -5.12e-07    3.21e-07
VOL_LAG34     -2.05e-08   1.73e-07     -0.119      0.906   -3.59e-07    3.18e-07
VOL_LAG35    -5.283e-08   1.94e-07     -0.273      0.785   -4.32e-07    3.27e-07
VOL_LAG36      8.83e-08   1.21e-07      0.728      0.466   -1.49e-07    3.26e-07
VOL_LAG37     1.104e-08   1.53e-07      0.072      0.943    -2.9e-07    3.12e-07
VOL_LAG38     1.015e-07   1.17e-07      0.864      0.387   -1.29e-07    3.32e-07
VOL_LAG39    -1.055e-07   2.33e-07     -0.452      0.651   -5.63e-07    3.52e-07
VOL_LAG4      3.797e-08    9.9e-08      0.384      0.701   -1.56e-07    2.32e-07
VOL_LAG40    -4.689e-08   1.91e-07     -0.245      0.807   -4.22e-07    3.28e-07
VOL_LAG41     1.284e-07   1.24e-07      1.035      0.300   -1.15e-07    3.71e-07
VOL_LAG42    -2.505e-07      3e-07     -0.835      0.404   -8.39e-07    3.38e-07
VOL_LAG43     1.676e-07   9.86e-08      1.700      0.089   -2.56e-08    3.61e-07
VOL_LAG44    -1.046e-07   2.42e-07     -0.433      0.665   -5.78e-07    3.69e-07
VOL_LAG45    -3.955e-07   3.73e-07     -1.060      0.289   -1.13e-06    3.35e-07
VOL_LAG46    -4.906e-08   1.82e-07     -0.270      0.787   -4.06e-07    3.07e-07
VOL_LAG47     1.301e-07   1.12e-07      1.165      0.244   -8.87e-08    3.49e-07
VOL_LAG48      1.19e-07   1.11e-07      1.073      0.283   -9.83e-08    3.36e-07
VOL_LAG49    -1.134e-07   2.22e-07     -0.510      0.610   -5.49e-07    3.22e-07
VOL_LAG5      3.888e-08   1.04e-07      0.376      0.707   -1.64e-07    2.42e-07
VOL_LAG50    -5.262e-08   1.74e-07     -0.303      0.762   -3.93e-07    2.87e-07
VOL_LAG51      2.15e-08   1.47e-07      0.146      0.884   -2.67e-07     3.1e-07
VOL_LAG52     1.415e-07   1.15e-07      1.230      0.219   -8.41e-08    3.67e-07
VOL_LAG53    -1.709e-07   2.59e-07     -0.661      0.508   -6.78e-07    3.36e-07
VOL_LAG54     9.982e-08    1.1e-07      0.911      0.362   -1.15e-07    3.15e-07
VOL_LAG55     6.223e-08   1.24e-07      0.501      0.617   -1.81e-07    3.06e-07
VOL_LAG56     8.011e-08   1.25e-07      0.640      0.522   -1.65e-07    3.25e-07
VOL_LAG57    -9.411e-09   1.67e-07     -0.056      0.955   -3.36e-07    3.17e-07
VOL_LAG58    -5.972e-08   1.97e-07     -0.304      0.761   -4.45e-07    3.25e-07
VOL_LAG59    -8.759e-08   2.08e-07     -0.422      0.673   -4.95e-07     3.2e-07
VOL_LAG6      4.617e-08   9.81e-08      0.471      0.638   -1.46e-07    2.38e-07
VOL_LAG60     1.628e-07   9.98e-08      1.632      0.103   -3.27e-08    3.58e-07
VOL_LAG61     1.911e-08   1.86e-07      0.103      0.918   -3.46e-07    3.84e-07
VOL_LAG62     -1.59e-07   2.35e-07     -0.676      0.499    -6.2e-07    3.02e-07
VOL_LAG63    -5.555e-08   2.37e-07     -0.234      0.815    -5.2e-07    4.09e-07
VOL_LAG64    -1.574e-07   2.23e-07     -0.705      0.481   -5.95e-07     2.8e-07
VOL_LAG65    -4.983e-08   1.97e-07     -0.253      0.800   -4.36e-07    3.36e-07
VOL_LAG66     1.152e-07   1.25e-07      0.921      0.357    -1.3e-07     3.6e-07
VOL_LAG67     1.689e-07   1.19e-07      1.420      0.156   -6.42e-08    4.02e-07
VOL_LAG68    -3.325e-07   3.61e-07     -0.921      0.357   -1.04e-06    3.75e-07
VOL_LAG69    -3.485e-08   1.96e-07     -0.177      0.859    -4.2e-07     3.5e-07
VOL_LAG7      4.146e-08   1.07e-07      0.386      0.699   -1.69e-07    2.52e-07
VOL_LAG70    -6.732e-08   2.41e-07     -0.279      0.780    -5.4e-07    4.06e-07
VOL_LAG71    -4.467e-07   4.02e-07     -1.111      0.267   -1.23e-06    3.41e-07
VOL_LAG72    -1.629e-08   1.78e-07     -0.092      0.927   -3.64e-07    3.32e-07
VOL_LAG73     1.234e-07   1.26e-07      0.979      0.328   -1.24e-07     3.7e-07
