                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15172
Model:                            GLM   Df Residuals:                    15051
Model Family:                Binomial   Df Model:                          120
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:            -2.1914e-09
Date:                Sun, 17 Mar 2024   Deviance:                   4.3863e-09
Time:                        17:58:45   Pearson chi2:                 2.19e-09
No. Iterations:                    28   Pseudo R-squ. (CS):                nan
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
RET_LAG55    -1.306e-09   9.94e+09  -1.31e-19      1.000   -1.95e+10    1.95e+10
RET_LAG56    -1.215e-09   9.91e+09  -1.23e-19      1.000   -1.94e+10    1.94e+10
RET_LAG57    -1.881e-09   9.89e+09   -1.9e-19      1.000   -1.94e+10    1.94e+10
RET_LAG58    -4.075e-10   9.82e+09  -4.15e-20      1.000   -1.92e+10    1.92e+10
RET_LAG59    -1.699e-09   9.78e+09  -1.74e-19      1.000   -1.92e+10    1.92e+10
RET_LAG6     -2.121e-09   9.97e+09  -2.13e-19      1.000   -1.95e+10    1.95e+10
RET_LAG60    -2.088e-09   9.47e+09  -2.21e-19      1.000   -1.86e+10    1.86e+10
RET_LAG7     -2.692e-10   9.98e+09   -2.7e-20      1.000   -1.96e+10    1.96e+10
RET_LAG8     -2.354e-09   9.98e+09  -2.36e-19      1.000   -1.96e+10    1.96e+10
RET_LAG9      2.838e-10   9.99e+09   2.84e-20      1.000   -1.96e+10    1.96e+10
SQ_RET_LAG1   5.007e-06   9.31e+13   5.38e-20      1.000   -1.83e+14    1.83e+14
SQ_RET_LAG10  2.003e-05   1.17e+14   1.71e-19      1.000   -2.29e+14    2.29e+14
SQ_RET_LAG11 -6.437e-06   1.17e+14   -5.5e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG12   2.17e-05   1.17e+14   1.85e-19      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG13 -4.172e-06   1.17e+14  -3.56e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG14  1.669e-05   1.17e+14   1.42e-19      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG15  -1.18e-05   1.17e+14  -1.01e-19      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG16  1.204e-05   1.17e+14   1.03e-19      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG17  3.934e-06   1.17e+14   3.35e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG18  8.583e-06   1.17e+14   7.31e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG19  3.576e-06   1.17e+14   3.04e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG2    9.12e-06   1.06e+14   8.62e-20      1.000   -2.07e+14    2.07e+14
SQ_RET_LAG20  7.391e-06   1.17e+14   6.29e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG21  4.292e-06   1.17e+14   3.65e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG22 -5.722e-06   1.17e+14  -4.87e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG23  8.464e-06   1.17e+14   7.21e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG24  3.457e-06   1.17e+14   2.94e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG25 -9.537e-07   1.17e+14  -8.12e-21      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG26  8.464e-06   1.17e+14   7.21e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG27  1.085e-05   1.17e+14   9.24e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG28 -1.502e-05   1.17e+14  -1.28e-19      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG29  1.144e-05   1.17e+14   9.76e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG3   9.298e-06   1.11e+14   8.37e-20      1.000   -2.18e+14    2.18e+14
SQ_RET_LAG30 -1.907e-06   1.17e+14  -1.63e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG31  7.391e-06   1.17e+14    6.3e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG32  6.914e-06   1.17e+14   5.89e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG33 -1.907e-06   1.17e+14  -1.63e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG34  7.749e-06   1.17e+14    6.6e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG35 -5.841e-06   1.17e+14  -4.98e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG36  9.775e-06   1.17e+14   8.33e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG37  1.311e-06   1.17e+14   1.12e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG38  6.676e-06   1.17e+14   5.69e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG39  1.013e-05   1.17e+14   8.63e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG4   1.454e-05   1.14e+14   1.27e-19      1.000   -2.24e+14    2.24e+14
SQ_RET_LAG40 -2.599e-05   1.17e+14  -2.21e-19      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG41  1.764e-05   1.17e+14    1.5e-19      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG42 -2.146e-06   1.17e+14  -1.83e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG43  1.359e-05   1.17e+14   1.16e-19      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG44  3.219e-06   1.17e+14   2.74e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG45  8.941e-06   1.17e+14   7.62e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG46  4.768e-06   1.17e+14   4.07e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG47  9.537e-07   1.17e+14   8.13e-21      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG48  9.418e-06   1.17e+14   8.03e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG49  3.815e-06   1.17e+14   3.25e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG5   3.815e-06   1.15e+14    3.3e-20      1.000   -2.26e+14    2.26e+14
SQ_RET_LAG50  8.345e-06   1.17e+14   7.12e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG51   4.53e-06   1.17e+14   3.87e-20      1.000    -2.3e+14     2.3e+14
SQ_RET_LAG52  1.383e-05   1.17e+14   1.18e-19      1.000   -2.29e+14    2.29e+14
SQ_RET_LAG53   4.53e-06   1.17e+14   3.88e-20      1.000   -2.29e+14    2.29e+14
SQ_RET_LAG54  1.144e-05   1.17e+14   9.81e-20      1.000   -2.29e+14    2.29e+14
SQ_RET_LAG55  7.153e-06   1.16e+14   6.15e-20      1.000   -2.28e+14    2.28e+14
SQ_RET_LAG56  7.033e-06   1.16e+14   6.09e-20      1.000   -2.26e+14    2.26e+14
SQ_RET_LAG57  1.478e-05   1.14e+14    1.3e-19      1.000   -2.24e+14    2.24e+14
SQ_RET_LAG58 -2.384e-07   1.11e+14  -2.15e-21      1.000   -2.18e+14    2.18e+14
SQ_RET_LAG59   1.21e-05   1.05e+14   1.15e-19      1.000   -2.06e+14    2.06e+14
SQ_RET_LAG6   1.907e-05   1.16e+14   1.64e-19      1.000   -2.28e+14    2.28e+14
SQ_RET_LAG60  1.144e-05   9.22e+13   1.24e-19      1.000   -1.81e+14    1.81e+14
SQ_RET_LAG7  -6.318e-06   1.17e+14  -5.42e-20      1.000   -2.29e+14    2.29e+14
SQ_RET_LAG8   1.979e-05   1.17e+14   1.69e-19      1.000   -2.29e+14    2.29e+14
SQ_RET_LAG9  -1.013e-05   1.17e+14  -8.66e-20      1.000   -2.29e+14    2.29e+14
VIOL_LAG1             0          0        nan        nan           0           0
VIOL_LAG10            0          0        nan        nan           0           0
VIOL_LAG11            0          0        nan        nan           0           0
VIOL_LAG12            0          0        nan        nan           0           0
VIOL_LAG13            0          0        nan        nan           0           0
VIOL_LAG14            0          0        nan        nan           0           0
VIOL_LAG15            0          0        nan        nan           0           0
VIOL_LAG16            0          0        nan        nan           0           0
VIOL_LAG17            0          0        nan        nan           0           0
VIOL_LAG18            0          0        nan        nan           0           0
VIOL_LAG19            0          0        nan        nan           0           0
VIOL_LAG2             0          0        nan        nan           0           0
VIOL_LAG20            0          0        nan        nan           0           0
VIOL_LAG21            0          0        nan        nan           0           0
VIOL_LAG22            0          0        nan        nan           0           0
VIOL_LAG23            0          0        nan        nan           0           0
VIOL_LAG24            0          0        nan        nan           0           0
VIOL_LAG25            0          0        nan        nan           0           0
VIOL_LAG26            0          0        nan        nan           0           0
VIOL_LAG27            0          0        nan        nan           0           0
VIOL_LAG28            0          0        nan        nan           0           0
VIOL_LAG29            0          0        nan        nan           0           0
VIOL_LAG3             0          0        nan        nan           0           0
VIOL_LAG30            0          0        nan        nan           0           0
VIOL_LAG31            0          0        nan        nan           0           0
VIOL_LAG32            0          0        nan        nan           0           0
VIOL_LAG33            0          0        nan        nan           0           0
VIOL_LAG34            0          0        nan        nan           0           0
VIOL_LAG35            0          0        nan        nan           0           0
VIOL_LAG36            0          0        nan        nan           0           0
VIOL_LAG37            0          0        nan        nan           0           0
VIOL_LAG38            0          0        nan        nan           0           0
VIOL_LAG39            0          0        nan        nan           0           0
VIOL_LAG4             0          0        nan        nan           0           0
VIOL_LAG40            0          0        nan        nan           0           0
VIOL_LAG41            0          0        nan        nan           0           0
VIOL_LAG42            0          0        nan        nan           0           0
VIOL_LAG43            0          0        nan        nan           0           0
VIOL_LAG44            0          0        nan        nan           0           0
VIOL_LAG45            0          0        nan        nan           0           0
VIOL_LAG46            0          0        nan        nan           0           0
VIOL_LAG47            0          0        nan        nan           0           0
VIOL_LAG48            0          0        nan        nan           0           0
VIOL_LAG49            0          0        nan        nan           0           0
VIOL_LAG5             0          0        nan        nan           0           0
VIOL_LAG50            0          0        nan        nan           0           0
VIOL_LAG51            0          0        nan        nan           0           0
VIOL_LAG52            0          0        nan        nan           0           0
VIOL_LAG53            0          0        nan        nan           0           0
VIOL_LAG54            0          0        nan        nan           0           0
VIOL_LAG55            0          0        nan        nan           0           0
VIOL_LAG56            0          0        nan        nan           0           0
VIOL_LAG57            0          0        nan        nan           0           0
VIOL_LAG58            0          0        nan        nan           0           0
VIOL_LAG59            0          0        nan        nan           0           0
VIOL_LAG6             0          0        nan        nan           0           0
VIOL_LAG60            0          0        nan        nan           0           0
VIOL_LAG7             0          0        nan        nan           0           0
VIOL_LAG8             0          0        nan        nan           0           0
VIOL_LAG9             0          0        nan        nan           0           0
================================================================================
