                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                      Y   No. Observations:                15508
Model:                            GLM   Df Residuals:                    15327
Model Family:                Binomial   Df Model:                          180
Link Function:                  Logit   Scale:                          1.0000
Method:                          IRLS   Log-Likelihood:                -2896.9
Date:                Sun, 17 Mar 2024   Deviance:                       5793.9
Time:                        19:25:18   Pearson chi2:                 1.41e+04
No. Iterations:                    18   Pseudo R-squ. (CS):            0.04295
Covariance Type:            nonrobust                                         
================================================================================
                   coef    std err          z      P>|z|      [0.025      0.975]
--------------------------------------------------------------------------------
VOL_LAG61     1.853e-07   1.57e-07      1.177      0.239   -1.23e-07    4.94e-07
VOL_LAG62    -4.598e-07   3.61e-07     -1.275      0.202   -1.17e-06    2.47e-07
VOL_LAG63    -6.228e-08   2.41e-07     -0.259      0.796   -5.34e-07     4.1e-07
VOL_LAG64      4.74e-08   2.05e-07      0.232      0.817   -3.54e-07    4.48e-07
VOL_LAG65    -9.517e-08   2.53e-07     -0.376      0.707   -5.91e-07    4.01e-07
VOL_LAG66     5.903e-08   1.88e-07      0.314      0.754   -3.09e-07    4.28e-07
VOL_LAG67     2.915e-08   1.95e-07      0.150      0.881   -3.53e-07    4.11e-07
VOL_LAG68     1.055e-07   1.86e-07      0.568      0.570   -2.59e-07     4.7e-07
VOL_LAG69    -1.805e-07   2.99e-07     -0.603      0.546   -7.67e-07    4.06e-07
VOL_LAG7      1.702e-07   1.08e-07      1.582      0.114   -4.06e-08    3.81e-07
VOL_LAG70     4.654e-08   2.38e-07      0.196      0.845    -4.2e-07    5.13e-07
VOL_LAG71    -5.077e-07   4.73e-07     -1.073      0.283   -1.44e-06     4.2e-07
VOL_LAG72     3.642e-08   2.15e-07      0.170      0.865   -3.84e-07    4.57e-07
VOL_LAG73     1.714e-08    2.2e-07      0.078      0.938   -4.15e-07    4.49e-07
VOL_LAG74     2.787e-08      2e-07      0.140      0.889   -3.63e-07    4.19e-07
VOL_LAG75     6.646e-08   1.87e-07      0.355      0.722      -3e-07    4.33e-07
VOL_LAG76     1.228e-07   1.66e-07      0.739      0.460   -2.03e-07    4.49e-07
VOL_LAG77     1.356e-07   2.28e-07      0.596      0.551   -3.11e-07    5.82e-07
VOL_LAG78    -8.451e-07   5.95e-07     -1.419      0.156   -2.01e-06    3.22e-07
VOL_LAG79    -2.522e-07    3.7e-07     -0.682      0.495   -9.77e-07    4.73e-07
VOL_LAG8      1.066e-07   1.23e-07      0.868      0.386   -1.34e-07    3.47e-07
VOL_LAG80     1.942e-07   1.69e-07      1.147      0.251   -1.38e-07    5.26e-07
VOL_LAG81    -1.635e-07   3.41e-07     -0.479      0.632   -8.33e-07    5.06e-07
VOL_LAG82    -3.657e-07   4.29e-07     -0.852      0.394   -1.21e-06    4.75e-07
VOL_LAG83     1.022e-07   1.65e-07      0.618      0.536   -2.22e-07    4.26e-07
VOL_LAG84     2.931e-07   1.21e-07      2.427      0.015    5.64e-08     5.3e-07
VOL_LAG85    -1.474e-07   3.01e-07     -0.489      0.625   -7.38e-07    4.43e-07
VOL_LAG86     1.207e-07   1.86e-07      0.650      0.516   -2.43e-07    4.85e-07
VOL_LAG87    -1.726e-07   3.66e-07     -0.471      0.637   -8.91e-07    5.45e-07
VOL_LAG88    -4.922e-07   5.05e-07     -0.974      0.330   -1.48e-06    4.98e-07
VOL_LAG89     1.505e-07   1.76e-07      0.854      0.393   -1.95e-07    4.96e-07
VOL_LAG9      1.636e-07   1.09e-07      1.501      0.133      -5e-08    3.77e-07
VOL_LAG90    -2.385e-07   3.45e-07     -0.691      0.490   -9.15e-07    4.38e-07
================================================================================
